                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                  1.252,                0.65772,                 1.0844,                0.96613,                0.94248,                0.96573,                0.60673,                 1.2025,                0.55618,                 1.0565,              0.0011059,              0.0011059,              0.0011059
                    104,                  1.285,                0.65413,                 1.0773,                0.97116,                0.93893,                0.96225,                 0.6045,                 1.1993,                0.55123,                 1.0504,              0.0011004,              0.0011004,              0.0011004
                    105,                 1.2541,                0.63986,                 1.0834,                0.96733,                 0.9457,                0.96563,                0.62046,                 1.1716,                0.54437,                 1.0405,              0.0010949,              0.0010949,              0.0010949
                    106,                 1.2723,                0.65537,                 1.0971,                0.96712,                0.94185,                0.96811,                0.61699,                 1.1996,                0.54711,                  1.049,              0.0010894,              0.0010894,              0.0010894
                    107,                 1.2859,                0.63912,                 1.0846,                0.97114,                0.93958,                0.96887,                0.60754,                 1.2064,                0.55144,                 1.0536,              0.0010839,              0.0010839,              0.0010839
                    108,                 1.2658,                0.64244,                 1.0779,                0.97182,                0.94833,                 0.9673,                0.61844,                 1.1862,                0.53109,                 1.0445,              0.0010784,              0.0010784,              0.0010784
                    109,                    1.3,                0.65146,                 1.0824,                0.96958,                0.94714,                 0.9706,                0.62215,                 1.1827,                0.54122,                 1.0433,              0.0010729,              0.0010729,              0.0010729
                    110,                 1.2402,                0.66066,                 1.0696,                0.96602,                 0.9566,                0.97085,                0.63147,                 1.1468,                0.52535,                 1.0315,              0.0010674,              0.0010674,              0.0010674
                    111,                 1.2766,                0.62731,                 1.0881,                0.96949,                0.94741,                0.96992,                0.63306,                 1.1399,                0.52547,                 1.0305,              0.0010619,              0.0010619,              0.0010619
                    112,                 1.2715,                0.63606,                 1.0769,                0.97615,                0.95132,                0.97222,                0.62545,                 1.1766,                 0.5263,                 1.0458,              0.0010564,              0.0010564,              0.0010564
                    113,                 1.2476,                0.63749,                   1.09,                0.96685,                0.94745,                0.96468,                0.63307,                 1.1463,                0.52846,                 1.0278,              0.0010509,              0.0010509,              0.0010509
                    114,                 1.2635,                0.62654,                 1.0811,                0.97499,                0.94858,                0.97316,                0.64014,                 1.1176,                0.52268,                  1.018,              0.0010454,              0.0010454,              0.0010454
                    115,                 1.2325,                0.64617,                 1.0723,                0.96647,                0.94426,                0.96962,                0.62457,                 1.1644,                0.53398,                 1.0371,              0.0010399,              0.0010399,              0.0010399
                    116,                 1.2758,                0.63664,                 1.0811,                0.96653,                0.94982,                0.97063,                0.63777,                 1.1287,                0.51942,                 1.0241,              0.0010344,              0.0010344,              0.0010344
                    117,                 1.2104,                0.60469,                 1.0606,                0.97678,                0.94661,                 0.9666,                0.63655,                 1.1075,                0.51715,                  1.015,              0.0010289,              0.0010289,              0.0010289
                    118,                 1.2243,                0.62226,                 1.0721,                0.96862,                0.94617,                0.96636,                0.63395,                 1.1032,                0.53037,                 1.0174,              0.0010234,              0.0010234,              0.0010234
                    119,                 1.2568,                0.64438,                 1.0837,                0.98105,                0.94844,                0.96943,                0.63777,                 1.1216,                0.51497,                 1.0199,              0.0010179,              0.0010179,              0.0010179
                    120,                 1.2372,                0.62133,                 1.0671,                0.97788,                0.95116,                0.97104,                0.62903,                 1.1473,                 0.5278,                 1.0318,              0.0010124,              0.0010124,              0.0010124
                    121,                 1.2341,                0.62638,                 1.0672,                0.97232,                0.95319,                0.96633,                0.63591,                 1.1221,                0.51324,                 1.0172,              0.0010069,              0.0010069,              0.0010069
                    122,                 1.2101,                 0.6065,                 1.0681,                0.97834,                0.94886,                 0.9701,                0.64422,                 1.1037,                0.51159,                 1.0141,              0.0010014,              0.0010014,              0.0010014
                    123,                 1.2239,                 0.6181,                  1.072,                0.97623,                 0.9485,                 0.9705,                0.64486,                 1.1141,                0.50369,                 1.0162,             0.00099587,             0.00099587,             0.00099587
                    124,                  1.198,                0.61975,                 1.0533,                0.97672,                0.94478,                 0.9663,                0.62779,                 1.1665,                0.51946,                 1.0323,             0.00099036,             0.00099036,             0.00099036
                    125,                 1.1824,                0.60158,                 1.0617,                0.97724,                0.95516,                0.96986,                0.64044,                 1.0965,                0.50655,                 1.0144,             0.00098486,             0.00098486,             0.00098486
                    126,                 1.2068,                0.59324,                 1.0543,                0.97947,                0.95286,                0.96731,                0.64416,                 1.0913,                0.49799,                 1.0101,             0.00097936,             0.00097936,             0.00097936
                    127,                 1.2092,                0.61367,                 1.0562,                0.98151,                0.95383,                 0.9698,                0.64454,                 1.1114,                0.50678,                 1.0117,             0.00097386,             0.00097386,             0.00097386
                    128,                 1.2033,                 0.6056,                 1.0661,                 0.9762,                 0.9542,                0.97082,                0.64988,                   1.11,                0.50453,                 1.0121,             0.00096836,             0.00096836,             0.00096836
                    129,                 1.2259,                0.60307,                 1.0639,                0.97889,                0.95027,                0.96866,                0.65748,                 1.0579,                0.48785,                0.99722,             0.00096286,             0.00096286,             0.00096286
                    130,                 1.1949,                0.60064,                 1.0543,                0.97931,                0.95513,                0.97226,                0.65741,                 1.0649,                0.49137,                 1.0058,             0.00095736,             0.00095736,             0.00095736
                    131,                 1.2117,                0.59968,                  1.061,                 0.9787,                0.95967,                0.97298,                0.65354,                 1.0695,                0.49903,                 1.0029,             0.00095186,             0.00095186,             0.00095186
                    132,                 1.2027,                0.61375,                 1.0747,                0.97849,                0.95131,                0.97366,                0.65021,                 1.0946,                0.50007,                 1.0102,             0.00094636,             0.00094636,             0.00094636
                    133,                 1.2438,                0.63038,                 1.0814,                  0.978,                0.95319,                0.97107,                0.65326,                 1.0791,                0.49734,                 1.0045,             0.00094085,             0.00094085,             0.00094085
                    134,                 1.1817,                0.63883,                 1.0545,                0.98135,                0.95415,                0.96664,                0.65463,                 1.0656,                0.49141,                 1.0023,             0.00093535,             0.00093535,             0.00093535
                    135,                 1.2082,                0.59331,                 1.0513,                0.97644,                0.95196,                0.97022,                0.64655,                 1.1018,                0.50085,                 1.0076,             0.00092985,             0.00092985,             0.00092985
                    136,                 1.2318,                0.61081,                 1.0735,                0.97675,                 0.9579,                0.97156,                0.65836,                 1.0613,                0.48804,                0.99904,             0.00092435,             0.00092435,             0.00092435
                    137,                 1.1834,                 0.5762,                 1.0568,                0.98115,                 0.9522,                0.96928,                0.65428,                 1.0428,                0.48429,                0.99257,             0.00091885,             0.00091885,             0.00091885
                    138,                 1.1699,                0.59857,                 1.0546,                0.97717,                0.94962,                0.96842,                0.63773,                 1.1103,                0.50966,                 1.0135,             0.00091335,             0.00091335,             0.00091335
                    139,                 1.1865,                0.58377,                 1.0457,                0.98172,                0.95442,                0.97302,                0.66014,                 1.0548,                0.48031,                 0.9919,             0.00090785,             0.00090785,             0.00090785
                    140,                 1.1704,                0.59536,                 1.0531,                0.98294,                0.95985,                0.97312,                0.65206,                 1.0493,                0.48223,                0.98689,             0.00090235,             0.00090235,             0.00090235
                    141,                 1.1422,                0.58421,                 1.0401,                0.97754,                0.95556,                0.97247,                0.67197,                 1.0384,                 0.4778,                 0.9849,             0.00089685,             0.00089685,             0.00089685
